,0
0,X#1
1,T#1
2,T#2
3,NumAliphaticCarbocycles#1
4,NumAliphaticCarbocycles#2
5,NumAliphaticHeterocycles#1
6,NumAliphaticHeterocycles#2
7,NumAromaticCarbocycles#1
8,NumAromaticCarbocycles#2
9,NumAromaticHeterocycles#1
10,NumAromaticHeterocycles#2
11,NumHAcceptors#1
12,NumHAcceptors#2
13,NumHDonors#1
14,NumHDonors#2
15,NumHeteroatoms#1
16,NumHeteroatoms#2
17,MaxPartialCharge#1
18,MaxPartialCharge#2
19,MinPartialCharge#1
20,MinPartialCharge#2
21,BalabanJ#1
22,BalabanJ#2
23,fr_NH0#1
24,fr_NH0#2
25,fr_NH1#1
26,fr_NH1#2
27,fr_NH2#1
28,fr_NH2#2
29,fr_Ndealkylation1#1
30,fr_Ndealkylation1#2
31,fr_amide#1
32,fr_amide#2
33,fr_halogen#1
34,fr_halogen#2
35,fr_phenol#1
36,fr_phenol#2
37,fr_quatN#1
38,fr_quatN#2
39,NPR1#1
40,NPR1#2
41,NPR2#1
42,NPR2#2
43,RadiusOfGyration#1
44,RadiusOfGyration#2
45,InertialShapeFactor#1
46,InertialShapeFactor#2
47,SpherocityIndex#1
48,SpherocityIndex#2
49,MolWeight#1
50,MolWeight#2
51,WAPS#1
52,WAPS#2
53,WANS#1
54,WANS#2
55,COSMO_charge#1
56,COSMO_charge#2
57,ln_gamma_InfD#1
58,ln_gamma_InfD#2
59,s_profile_1#ratio
60,s_profile_2#ratio
61,s_profile_3#ratio
62,s_profile_4#ratio
63,s_profile_5#ratio
64,s_profile_6#ratio
65,s_profile_7#ratio
