,T_EP,X#1,T#1,T#2,lny,MolWeight#2,SpherocityIndex,RadiusOfGyration,NPR1#2,NPR2#2,InertialShapeFactor#2,ChargeIndex,PolarityIndex,SymmetricIndex_HB,SymmetricIndex_MF
T_EP,1.0,-0.5016192604721651,0.5401979616168743,0.5071131169742962,-0.11161376611812347,-0.39095695175672635,0.5633924416535462,-0.09270983867038446,-0.06905136060363545,0.03903569963415337,0.2933953255298361,-0.5305726618359358,0.13683909673560268,-0.4225567299524168,0.5591653577113121
X#1,-0.5016192604721651,1.0,-0.07091307612519819,-0.012501285149093391,0.14136920200838393,0.09465969792910756,-0.3011537031840436,-0.06574575023920637,0.06751304805800089,0.0014717612019105517,-0.013468074934692476,0.3125421797148655,0.2520770977554089,0.2808501144175003,-0.23527057674072055
T#1,0.5401979616168743,-0.07091307612519819,1.0,0.486506033292733,-0.17275437075498665,-0.4567833468498159,0.4088089909355621,-0.42605979229972785,-0.10821827472760545,-0.03729090695415252,0.477683198264082,-0.23433893322174082,0.25586182582009986,-0.17642832405428474,0.4438180467085374
T#2,0.5071131169742962,-0.012501285149093391,0.486506033292733,1.0,-0.2583978929894143,-0.527209542907871,0.42341228716773416,-0.38419968154921325,0.24643412024980194,-0.1875911549959163,0.1415811522218976,-0.3825861853400912,0.1659370850895909,-0.4094011229178775,0.37124980502828453
lny,-0.11161376611812347,0.14136920200838393,-0.17275437075498665,-0.2583978929894143,1.0,-0.0003836273734809036,-0.07539465961418337,0.22797744604960823,-0.35049803252837525,0.15950600673767143,0.024188226706102166,0.14279689993392142,0.05802106578253034,0.1780243708735768,-0.05306281144324403
MolWeight#2,-0.39095695175672635,0.09465969792910756,-0.4567833468498159,-0.527209542907871,-0.0003836273734809036,1.0,-0.30539523382540695,0.4694151032684464,0.18324880806493907,0.20140594490128735,-0.264360733997832,0.10855163579063395,-0.21786180388990117,0.1253581732880075,-0.25534529425757874
SpherocityIndex,0.5633924416535462,-0.3011537031840436,0.4088089909355621,0.42341228716773416,-0.07539465961418337,-0.30539523382540695,1.0,-0.4515143255922561,0.17238612442157036,-0.0878084547578118,0.13532532662537738,-0.5662841360887036,0.049554783552651416,-0.361817431354119,0.5838020502085114
RadiusOfGyration,-0.09270983867038446,-0.06574575023920637,-0.42605979229972785,-0.38419968154921325,0.22797744604960823,0.4694151032684464,-0.4515143255922561,1.0,-0.14364953288898294,0.3091370477389105,-0.13943195379472864,0.05236161898222377,-0.052707014325607295,-0.0236520205348548,-0.16121218150583239
NPR1#2,-0.06905136060363545,0.06751304805800089,-0.10821827472760545,0.24643412024980194,-0.35049803252837525,0.18324880806493907,0.17238612442157036,-0.14364953288898294,1.0,-0.4697906092468316,-0.25189341666394965,-0.29661285820978867,-0.10632713478125107,-0.2270876898306521,0.07913183144241986
NPR2#2,0.03903569963415337,0.0014717612019105517,-0.03729090695415252,-0.1875911549959163,0.15950600673767143,0.20140594490128735,-0.0878084547578118,0.3091370477389105,-0.4697906092468316,1.0,0.20163895491636954,0.07779665443448315,0.06182178111618779,0.07695361456818556,0.053722791472828796
InertialShapeFactor#2,0.2933953255298361,-0.013468074934692476,0.477683198264082,0.1415811522218976,0.024188226706102166,-0.264360733997832,0.13532532662537738,-0.13943195379472864,-0.25189341666394965,0.20163895491636954,1.0,0.05046881269567706,0.5407159625179458,0.09491751889438982,0.11659544147579777
ChargeIndex,-0.5305726618359358,0.3125421797148655,-0.23433893322174082,-0.3825861853400912,0.14279689993392142,0.10855163579063395,-0.5662841360887036,0.05236161898222377,-0.29661285820978867,0.07779665443448315,0.05046881269567706,1.0,-0.03585769717478308,0.6808804143849534,-0.6982827291913836
PolarityIndex,0.13683909673560268,0.2520770977554089,0.25586182582009986,0.1659370850895909,0.05802106578253034,-0.21786180388990117,0.049554783552651416,-0.052707014325607295,-0.10632713478125107,0.06182178111618779,0.5407159625179458,-0.03585769717478308,1.0,-0.018398007083355584,0.1553111214523806
SymmetricIndex_HB,-0.4225567299524168,0.2808501144175003,-0.17642832405428474,-0.4094011229178775,0.1780243708735768,0.1253581732880075,-0.361817431354119,-0.0236520205348548,-0.2270876898306521,0.07695361456818556,0.09491751889438982,0.6808804143849534,-0.018398007083355584,1.0,-0.3921556525088721
SymmetricIndex_MF,0.5591653577113121,-0.23527057674072055,0.4438180467085374,0.37124980502828453,-0.05306281144324403,-0.25534529425757874,0.5838020502085114,-0.16121218150583239,0.07913183144241986,0.053722791472828796,0.11659544147579777,-0.6982827291913836,0.1553111214523806,-0.3921556525088721,1.0
