features,SFM_1,SFM_2,SFM_3,SFM_4,SFM_5,SFM_sum,SFM
X#1,True,True,True,True,True,5,True
Solubility#1,False,False,False,False,False,0,False
Solubility#2,False,False,False,False,False,0,False
T#1,True,True,True,True,True,5,True
T#2,False,False,False,True,False,1,True
NumValenceElectrons#1,False,False,False,False,False,0,False
NumValenceElectrons#2,False,False,False,False,False,0,False
TPSA#2,False,False,False,False,False,0,False
NumHDonors#1,False,False,False,False,False,0,False
NumHeteroatoms#1,False,False,False,False,False,0,False
NumHeteroatoms#2,False,False,False,False,False,0,False
NumRotatableBonds#2,False,False,False,False,False,0,False
MaxPartialCharge#1,False,False,False,False,False,0,False
MaxPartialCharge#2,False,False,False,False,False,0,False
MinPartialCharge#1,False,False,False,False,False,0,False
MinPartialCharge#2,False,False,False,False,False,0,False
BalabanJ#1,False,False,False,False,False,0,False
BalabanJ#2,False,False,False,False,False,0,False
BCUT2D_MWHI#1,False,False,False,False,False,0,False
BCUT2D_MWHI#2,False,False,False,False,False,0,False
BCUT2D_MWLOW#1,False,False,False,False,False,0,False
BCUT2D_MWLOW#2,False,False,False,False,False,0,False
BCUT2D_CHGHI#1,False,False,False,False,False,0,False
BCUT2D_CHGHI#2,False,False,False,False,False,0,False
BCUT2D_CHGLO#1,False,False,False,False,False,0,False
BCUT2D_CHGLO#2,False,False,False,False,False,0,False
BCUT2D_LOGPHI#1,False,False,False,False,False,0,False
BCUT2D_LOGPHI#2,False,False,False,False,False,0,False
BCUT2D_LOGPLOW#1,False,False,False,False,False,0,False
BCUT2D_LOGPLOW#2,False,False,False,False,False,0,False
BCUT2D_MRHI#1,False,False,False,False,False,0,False
BCUT2D_MRHI#2,False,False,False,False,False,0,False
BCUT2D_MRLOW#1,False,False,False,False,False,0,False
BCUT2D_MRLOW#2,False,False,False,False,False,0,False
fr_NH0#1,False,False,False,False,False,0,False
fr_NH0#2,False,False,False,False,False,0,False
fr_Ndealkylation1#2,False,False,False,False,False,0,False
fr_halogen#1,False,False,False,False,False,0,False
fr_halogen#2,False,False,False,False,False,0,False
fr_quatN#1,False,False,False,False,False,0,False
fr_quatN#2,False,False,False,False,False,0,False
PMI1#1,False,False,False,False,False,0,False
PMI1#2,False,False,False,False,False,0,False
PMI2#1,False,False,False,False,False,0,False
PMI2#2,False,False,False,False,False,0,False
PMI3#1,False,False,False,False,False,0,False
PMI3#2,False,False,False,False,False,0,False
NPR1#1,False,False,False,False,False,0,False
NPR1#2,False,False,False,False,False,0,False
NPR2#1,False,False,False,False,False,0,False
NPR2#2,False,False,False,False,False,0,False
RadiusOfGyration#1,False,False,False,False,False,0,False
RadiusOfGyration#2,False,False,False,False,False,0,False
InertialShapeFactor#1,False,False,False,False,False,0,False
InertialShapeFactor#2,False,False,False,False,False,0,False
Eccentricity#1,False,False,False,False,False,0,False
Eccentricity#2,False,False,False,False,False,0,False
Asphericity#1,False,False,False,False,False,0,False
Asphericity#2,False,False,False,False,False,0,False
SpherocityIndex#1,True,True,True,True,True,5,True
SpherocityIndex#2,False,False,False,False,False,0,False
Area#1,False,False,False,False,False,0,False
Area#2,False,False,False,False,False,0,False
sig2#1,False,False,False,False,False,0,False
sig2#2,False,False,False,False,False,0,False
sig3#1,False,False,False,False,False,0,False
sig3#2,False,False,False,False,False,0,False
sig4#1,False,False,False,False,False,0,False
sig4#2,False,False,False,False,False,0,False
sig5#1,False,False,False,False,False,0,False
sig5#2,False,False,False,False,False,0,False
sig6#1,False,False,False,False,False,0,False
sig6#2,False,False,False,False,False,0,False
Volume#1,False,False,False,False,False,0,False
Volume#2,False,False,False,False,False,0,False
MolWeight#1,False,False,False,False,False,0,False
MolWeight#2,False,False,False,False,False,0,False
E_diel#1,False,False,False,False,False,0,False
E_diel#2,False,False,False,False,False,0,False
E_vdw#1,False,False,False,False,False,0,False
E_vdw#2,False,False,False,False,False,0,False
E_ring#2,False,False,False,False,False,0,False
mu_gas#1,False,False,False,False,False,0,False
mu_gas#2,False,False,False,False,False,0,False
WAPS#1,True,True,True,True,False,4,True
WAPS#2,True,True,True,True,True,5,True
WANS#1,True,False,False,False,True,2,True
WANS#2,False,False,False,False,False,0,False
E_COSMO#1,False,False,False,False,False,0,False
E_COSMO#2,False,False,False,False,False,0,False
COSMO_charge#1,False,False,False,False,False,0,False
COSMO_charge#2,False,False,False,False,False,0,False
Dipole_moment#1,False,False,False,False,False,0,False
Dipole_moment#2,False,False,False,False,False,0,False
Hb_acc#1,False,False,False,False,False,0,False
Hb_acc#2,False,False,False,False,False,0,False
Hb_don#1,False,True,False,False,False,1,True
Hb_don#2,False,False,False,False,False,0,False
ln_gamma_InfD#1,False,False,False,False,False,0,False
ln_gamma_InfD#2,False,False,False,False,False,0,False
lny#1,False,False,False,False,False,0,False
lny#2,False,False,False,False,True,1,True
s_potential_1#1,False,False,False,False,False,0,False
s_potential_1#2,False,False,False,False,False,0,False
s_potential_2#1,False,False,False,False,False,0,False
s_potential_2#2,False,False,False,False,False,0,False
s_potential_3#1,False,False,False,False,False,0,False
s_potential_3#2,False,False,False,False,False,0,False
s_profile_1#ratio,False,False,False,False,False,0,False
s_profile_2#ratio,True,True,True,True,True,5,True
s_profile_3#ratio,True,True,True,True,True,5,True
s_profile_4#ratio,False,True,True,True,True,4,True
s_profile_5#ratio,False,True,True,True,True,4,True
s_profile_6#ratio,True,True,False,False,False,2,True
s_profile_7#ratio,False,True,False,True,False,2,True
